config,seed,handle_mode,epochs,chunk_size,n_action_steps,max_steps,successes,episodes,success_rate,status
baseline,0,both,30,16,8,500,18,50,36.0,ok
baseline,0,both,30,16,8,600,17,50,34.0,ok
